Tilda UID,Brand,SKU,Mark,Category,Title,Description,Text,Photo,Price,Quantity,Price Old,Editions,Modifications,External ID,Parent UID,Characteristics:Running watts,Characteristics:Max watts,Characteristics:Voltage,Characteristics:DC Output,Characteristics:Winding Type,Characteristics:AVR,Characteristics:Start System,Characteristics:Phase,Characteristics:Engine Power,Characteristics:Engine Type,Characteristics:Cooling System,Characteristics:Continuum Running Time,Characteristics:Fuel,"Characteristics:Fuel Volume, L","Characteristics:Oil Volume, L",Characteristics:Noise Level,Characteristics:Wheels And Handle,"Characteristics:Dimensions, mm","Characteristics:Weight, kg",Characteristics:Certification CE,Characteristics:EU Stage V,Characteristics:Socket type,Characteristics:USB,Characteristics:Series,"Characteristics:Diameter, mm","Characteristics:Thickness, mm",Characteristics:Type,Characteristics:Material,"Characteristics:Max. speed, rpm",Characteristics:Wyjście prądu stałego (DC),Characteristics:Typ uzwojenia,Characteristics:Typ silnika,Characteristics:Continuum Czas trwania,Characteristics:Koła i uchwyty,"Characteristics:Wymiary, mm","Characteristics:Moc nominalna, kW","Characteristics:Moc maksymalna, kW",Characteristics:Napięcie zasilania,Characteristics:Częstotliwość,Characteristics:Ilość i moc gniazd elektrycznych,Characteristics:Liczba faz,"Characteristics:Pojemność baku na benzynę, L",Characteristics:Poziom hałasu Lc IEC,"Characteristics:Waga urządzenia, kg",Characteristics:Paliwo,"Characteristics:Pojemność silnika, cm3",Characteristics:Uruchomienie,Characteristics:Poziom hałasu,Characteristics:Barcode EAN-13,"Characteristics:Inside diameter, mm",Characteristics:Application,Characteristics:Grit,"Characteristics:Set, pcs","Characteristics:Transport box, pcs",Characteristics:Scope,Characteristics:Recommended RPM,Characteristics:Shape,Characteristics:Abrasive grain,"Characteristics:Segment high, mm","Characteristics:Bore size, mm","Characteristics:Pack, pcs",Characteristics:Product Type,Characteristics:Paper Fastening Type,"Characteristics:Teeth, pcs.","Characteristics:Wire thickness, mm",Characteristics:Spindle thread,Characteristics:Type of Wire Brush,"Characteristics:Straight shank, mm","Characteristics:Length, mm",Characteristics:Row,"Characteristics:Holes, pcs",Characteristics:Safety requirements,Characteristics:Power tools,Characteristics:EAN-13,Characteristics:Seria,Characteristics:Zastosowanie,Characteristics:Elektronarzędzia,"Characteristics:Średnica, mm","Characteristics:Grubość, mm","Characteristics:Otwór, mm",Characteristics:Typ,Characteristics:Materiał,"Characteristics:Maks. prędkość obrotowa, obr.",Characteristics:Wymagania dotyczące bezpieczeństwa,Characteristics:Color,Characteristics:Diameter,Characteristics:Bore size,Characteristics:Segment high,Characteristics:Max. speed,Characteristics:Średnica,Characteristics:Grubość,Characteristics:Otwór,Characteristics:Kod kreskowy EAN-13,Characteristics:Segment wysoki,Characteristics:Rozmiar otworu,Characteristics:Maks. prędkość,Characteristics:Wymogi bezpieczeństwa,Characteristics:Thickness,Characteristics:Size,Characteristics:Wire thickness,Weight,Length,Width,Height,Unit,Portion,SEO title,SEO descr,SEO keywords,FB title,FB descr
539595563431,NovoTools,DBS115/C,,Diamond Blades (EN),"Diamond blade NovoTools Standard 115x5x22.2mm, Continuous",,"<strong>NovoTools Standard 115x5x22.23mm Continuous Diamond Blade, Precise Cutting for Tiles, Ceramics, and Glass - 4.5-Inch Diameter, EN13236 Safety Compliant</strong><br /><br />Upgrade your cutting experience with the NovoTools Standard Continuous Diamond Blade, designed for precise cutting of tiles, ceramics, and glass materials. Featuring a 115mm (4.5"") diameter and a 5mm segment height, this diamond blade provides exceptional cutting performance for a variety of applications. The 22.2mm (7/8"") bore size ensures compatibility with numerous power tools, making it a valuable addition to your workshop.<br /><br /><strong>KEY FEATURES</strong><br /><ul><li>PRECISE CUTTING: NovoTools Standard Continuous Diamond Blade designed for precise cutting of tiles, ceramics, and glass materials.</li><li>OPTIMAL SIZE: 115mm (4.5"") diameter, 5mm segment height, and 22.2mm (7/8"") bore size for compatibility with a wide range of power tools.</li><li>CONTINUOUS DESIGN: Continuous-type design delivers clean, chip-free cuts for a smooth finish on delicate materials.</li><li>PROFESSIONAL &amp; DIY: Ideal for both professional and DIY users who require precision cutting results for their projects.</li><li>SAFETY COMPLIANT: Complies with EN13236 safety requirements, featuring a max speed of 13,300 RPM and 80 m/s for safe and efficient operation.</li></ul><br />The Continuous-type design of the NovoTools Standard Diamond Blade delivers clean, chip-free cuts, ensuring a smooth finish on even the most delicate materials. This blade is perfect for professional and DIY users who require precision cutting results for their projects.<br /><br />Safety is a top priority with the NovoTools Standard Continuous Diamond Blade, which complies with the stringent EN13236 safety requirements. With a maximum speed of 13,300 RPM and 80 m/s, this diamond blade guarantees efficient operation without compromising safety. Equip your workshop with the NovoTools Standard Continuous Diamond Blade for unmatched cutting precision.",https://static.tildacdn.com/stor3535-6333-4364-a663-383136363330/37888676.png,1.84,,,,,Ry03OKGRnh0006CKkzfU,,,,,,,,,,,,,,,,,,,,,,,,,Standard,,,Continuous,,,,,,,,,,,,,,,,,,,,,,5060511134064,,"Cutting disc for concrete, stone, and masonry materials",,,,,,,,,,,,,,,,,,,,,EN13236,Angle grinder,,,,,,,,,,,,,"115 mm (4 1/2"")","22.2 mm (7/8"")",5 mm,"13 300 rpm, 80 m/s",,,,,,,,,,,,0,0,0,0,PCE,1,,,,,
362715315301,NovoTools,DBS125/C,,Diamond Blades (EN),"Diamond blade NovoTools Standard 125x5x22.2mm, Continuous",,"<strong>NovoTools Standard 125x5x22.2mm Continuous Diamond Blade, Precise Cutting for Tiles, Ceramics, and Glass - 5-Inch Diameter, EN13236 Safety Compliant</strong><br /><br />Upgrade your cutting experience with the NovoTools Standard Continuous Diamond Blade, designed for precise cutting of tiles, ceramics, and glass materials. Featuring a 125mm (5"") diameter and a 5mm segment height, this diamond blade provides exceptional cutting performance for a variety of applications. The 22.2mm (7/8"") bore size ensures compatibility with numerous power tools, making it a valuable addition to your workshop.<br /><br /><strong>KEY FEATURES</strong><br /><ul><li>PRECISE CUTTING: NovoTools Standard Continuous Diamond Blade designed for precise cutting of tiles, ceramics, and glass materials.</li><li>OPTIMAL SIZE: 125mm (5"") diameter, 5mm segment height, and 22.2mm (7/8"") bore size for compatibility with a wide range of power tools.</li><li>CONTINUOUS DESIGN: Continuous-type design delivers clean, chip-free cuts for a smooth finish on delicate materials.</li><li>PROFESSIONAL &amp; DIY: Ideal for both professional and DIY users who require precision cutting results for their projects.</li><li>SAFETY COMPLIANT: Complies with EN13236 safety requirements, featuring a max speed of 12,200 RPM and 80 m/s for safe and efficient operation.</li></ul><br />The Continuous-type design of the NovoTools Standard Diamond Blade delivers clean, chip-free cuts, ensuring a smooth finish on even the most delicate materials. This blade is perfect for professional and DIY users who require precision cutting results for their projects.<br /><br />Safety is a top priority with the NovoTools Standard Continuous Diamond Blade, which complies with the stringent EN13236 safety requirements. With a maximum speed of 12,200 RPM and 80 m/s, this diamond blade guarantees efficient operation without compromising safety. Equip your workshop with the NovoTools Standard Continuous Diamond Blade for unmatched cutting precision.",https://static.tildacdn.com/stor3331-3530-4637-a136-663034653633/40345305.png,2.1,,,,,UmtG9gOjbCFojAg4UiPc,,,,,,,,,,,,,,,,,,,,,,,,,Standard,,,Continuous,,,,,,,,,,,,,,,,,,,,,,5060511134071,,"Cutting disc for concrete, stone, and masonry materials",,,,,,,,,,,,,,,,,,,,,EN13236,Angle grinder,,,,,,,,,,,,,"125 mm (5"")","22.2 mm (7/8"")",5 mm,"12 200 rpm, 80 m/s",,,,,,,,,,,,0,0,0,0,PCE,1,,,,,
164258062471,NovoTools,DBS230/C,,Diamond Blades (EN),"Diamond blade NovoTools Standard 230x5x22.2mm, Continuous",,"<strong>NovoTools Standard 230x5x22.2mm Continuous Diamond Blade, Precise Cutting for Tiles, Ceramics, and Glass - 9-Inch Diameter, EN13236 Safety Compliant</strong><br /><br />Upgrade your cutting experience with the NovoTools Standard Continuous Diamond Blade, designed for precise cutting of tiles, ceramics, and glass materials. Featuring a 230mm (9"") diameter and a 5mm segment height, this diamond blade provides exceptional cutting performance for a variety of applications. The 22.2mm (7/8"") bore size ensures compatibility with numerous power tools, making it a valuable addition to your workshop.<br /><br /><strong>KEY FEATURES</strong><br /><ul><li>PRECISE CUTTING: NovoTools Standard Continuous Diamond Blade designed for precise cutting of tiles, ceramics, and glass materials.</li><li>OPTIMAL SIZE: 230mm (9"") diameter, 5mm segment height, and 22.2mm (7/8"") bore size for compatibility with a wide range of power tools.</li><li>CONTINUOUS DESIGN: Continuous-type design delivers clean, chip-free cuts for a smooth finish on delicate materials.</li><li>PROFESSIONAL &amp; DIY: Ideal for both professional and DIY users who require precision cutting results for their projects.</li><li>SAFETY COMPLIANT: Complies with EN13236 safety requirements, featuring a max speed of 6,600 RPM and 80 m/s for safe and efficient operation.</li></ul><br />The Continuous-type design of the NovoTools Standard Diamond Blade delivers clean, chip-free cuts, ensuring a smooth finish on even the most delicate materials. This blade is perfect for professional and DIY users who require precision cutting results for their projects.<br /><br />Safety is a top priority with the NovoTools Standard Continuous Diamond Blade, which complies with the stringent EN13236 safety requirements. With a maximum speed of 6,600 RPM and 80 m/s, this diamond blade guarantees efficient operation without compromising safety. Equip your workshop with the NovoTools Standard Continuous Diamond Blade for unmatched cutting precision.",https://static.tildacdn.com/stor6234-6362-4934-b462-366535353732/10167743.png,6.88,,,,,BLAasEATyf5Dsog5hUZf,,,,,,,,,,,,,,,,,,,,,,,,,Standard,,,Continuous,,,,,,,,,,,,,,,,,,,,,,5060511134095,,"Cutting disc for concrete, stone, and masonry materials",,,,,,,,,,,,,,,,,,,,,EN13236,Angle grinder,,,,,,,,,,,,,"230 mm (9"")","22.2 mm (7/8"")",5 mm,"6 600 rpm, 80 m/s",,,,,,,,,,,,0,0,0,0,PCE,1,,,,,
897703294941,NovoTools,DBS115/S,,Diamond Blades (EN),"Diamond blade NovoTools Standard 115x7x22.2mm, Segmented",,"<strong>NovoTools Standard 115x7x22.2mm Segmented Diamond Blade - 4.5-Inch Cutting Power for Concrete, Masonry, and Stone, EN13236 Safety Compliant</strong><br /><br />Experience superior cutting performance with the NovoTools Standard Segmented Diamond Blade, specifically designed for efficient cutting of concrete, masonry, and stone materials. Boasting a 115mm (4.5"") diameter, 7mm segment height, and a 22.2mm (7/8"") bore size, this diamond blade is compatible with a wide range of power tools, making it a versatile addition to your toolbox.<br /><br /><strong>KEY FEATURES</strong><br /><ul><li>SUPERIOR CUTTING: NovoTools Standard Segmented Diamond Blade designed for efficient cutting of concrete, masonry, and stone materials.</li><li>COMPATIBLE SIZE: 115mm (4.5"") diameter, 7mm segment height, and 22.2mm (7/8"") bore size for use with various power tools.</li><li>SEGMENTED DESIGN: Segmented-type design ensures fast, aggressive cuts while maintaining a cool operation temperature.</li><li>SMOOTH PERFORMANCE: Reduces the risk of blade binding for smooth and uninterrupted cutting performance.</li><li>SAFETY FOCUSED: Complies with EN13236 safety requirements, featuring a max speed of 13,300 RPM and 80 m/s for safe and efficient operation.</li></ul><br />The Segmented-type design of the NovoTools Standard Diamond Blade delivers fast, aggressive cuts while maintaining a cool operation temperature. This design also reduces the risk of blade binding, ensuring smooth and uninterrupted cutting performance.<br /><br />Safety is paramount with the NovoTools Standard Segmented Diamond Blade, which adheres to the strict EN13236 safety requirements. With a maximum speed of 13,300 RPM and 80 m/s, this diamond blade offers efficient operation without compromising on safety. Upgrade your workshop with the NovoTools Standard Segmented Diamond Blade for unmatched cutting capabilities.<br /><br />",https://static.tildacdn.com/stor3161-3633-4762-a661-626537616134/33849589.png,2.03,,,,,8c1VlLFslOCBHNjFfZAR,,,,,,,,,,,,,,,,,,,,,,,,,Standard,,,Segmented,,,,,,,,,,,,,,,,,,,,,,5060511134019,,"Cutting disc for concrete, stone, and masonry materials",,,,,,,,,,,,,,,,,,,,,EN13236,Angle grinder,,,,,,,,,,,,,"115 mm (4 1/2"")","22.2 mm (7/8"")",7 mm,"13 300 rpm, 80 m/s",,,,,,,,,,,,0,0,0,0,PCE,1,,,,,
942232811791,NovoTools,DBS125/S,,Diamond Blades (EN),"Diamond blade NovoTools Standard 125x7x22.2mm, Segmented",,"<strong>NovoTools Standard 125x7x22.23mm Segmented Diamond Blade - 5-Inch Efficient Cutting for Concrete, Masonry, and Stone, EN13236 Safety Compliant</strong><br /><br />Maximize your cutting capabilities with the NovoTools Standard Segmented Diamond Blade, designed for efficient cutting of concrete, masonry, and stone materials. Featuring a 125mm (5"") diameter, 7mm segment height, and a 22.2mm (7/8"") bore size, this diamond blade is compatible with a wide range of power tools, making it a versatile and essential addition to your toolbox.<br /><br /><strong>KEY FEATURES</strong><br /><ul><li>EFFICIENT CUTTING: NovoTools Standard Segmented Diamond Blade designed for efficient cutting of concrete, masonry, and stone materials.</li><li>COMPATIBLE SIZE: 125mm (5"") diameter, 7mm segment height, and 22.2mm (7/8"") bore size for use with various power tools.</li><li>SEGMENTED DESIGN: Segmented-type design ensures fast, aggressive cuts while maintaining a cool operation temperature.</li><li>SMOOTH PERFORMANCE: Reduces the risk of blade binding for smooth and uninterrupted cutting performance.</li><li>SAFETY FOCUSED: Complies with EN13236 safety requirements, featuring a max speed of 12,200 RPM and 80 m/s for safe and efficient operation.</li></ul><br />The Segmented-type design of the NovoTools Standard Diamond Blade delivers fast, aggressive cuts while maintaining a cool operation temperature. This design also reduces the risk of blade binding, ensuring smooth and uninterrupted cutting performance.<br /><br />Safety is a top priority with the NovoTools Standard Segmented Diamond Blade, which adheres to the strict EN13236 safety requirements. With a maximum speed of 12,200 RPM and 80 m/s, this diamond blade offers efficient operation without compromising on safety. Equip your workshop with the NovoTools Standard Segmented Diamond Blade for outstanding cutting performance.",https://static.tildacdn.com/stor3036-6538-4364-b632-363061623331/67849779.png,2.26,,,,,sooekreUTD2LUvoEiFeA,,,,,,,,,,,,,,,,,,,,,,,,,Standard,,,Segmented,,,,,,,,,,,,,,,,,,,,,,5060511134026,,"Cutting disc for concrete, stone, and masonry materials",,,,,,,,,,,,,,,,,,,,,EN13236,Angle grinder,,,,,,,,,,,,,"125 mm (5"")","22.2 mm (7/8"")",7 mm,"12 200 rpm, 80 m/s",,,,,,,,,,,,0,0,0,0,PCE,1,,,,,
901069543361,NovoTools,DBS230/S,,Diamond Blades (EN),"Diamond blade NovoTools Standard 230x7x22.2mm, Segmented",,"<strong>NovoTools Standard 230x7x22.2mm Segmented Diamond Blade - 9-Inch Cutting Power for Concrete, Masonry, and Stone, EN13236 Safety Compliant</strong><br /><br />Upgrade your cutting performance with the NovoTools Standard Segmented Diamond Blade, designed to efficiently cut concrete, masonry, and stone materials. Featuring a 230mm (9"") diameter, 7mm segment height, and a 22.2mm (7/8"") bore size, this diamond blade is compatible with various power tools, making it an indispensable addition to your toolbox.<br /><br /><strong>KEY FEATURES</strong><br /><ul><li>POWERFUL CUTTING: NovoTools Standard Segmented Diamond Blade designed for efficient cutting of concrete, masonry, and stone materials.</li><li>VERSATILE SIZE: 230mm (9"") diameter, 7mm segment height, and 22.2mm (7/8"") bore size for use with various power tools.</li><li>SEGMENTED DESIGN: Segmented-type design ensures fast, aggressive cuts while maintaining a cool operation temperature.</li><li>UNINTERRUPTED PERFORMANCE: Reduces the risk of blade binding for smooth and continuous cutting performance.</li><li>SAFETY FIRST: Complies with EN13236 safety requirements, featuring a max speed of 6,600 RPM and 80 m/s for safe and efficient operation.</li></ul><br />The Segmented-type design of the NovoTools Standard Diamond Blade delivers fast, aggressive cuts while maintaining a cool operation temperature. This design also reduces the risk of blade binding, ensuring smooth and uninterrupted cutting performance.<br /><br />Safety is paramount with the NovoTools Standard Segmented Diamond Blade, which adheres to the strict EN13236 safety requirements. With a maximum speed of 6,600 RPM and 80 m/s, this diamond blade offers efficient operation without compromising on safety. Enhance your workshop's cutting capabilities with the NovoTools Standard Segmented Diamond Blade.",https://static.tildacdn.com/stor6662-6130-4236-a364-303033376164/13834439.png,7.4,,,,,Z1UlHbkHdP9VLS6BCsar,,,,,,,,,,,,,,,,,,,,,,,,,Standard,,,Segmented,,,,,,,,,,,,,,,,,,,,,,5060511134033,,"Cutting disc for concrete, stone, and masonry materials",,,,,,,,,,,,,,,,,,,,,EN13236,Angle grinder,,,,,,,,,,,,,"230 mm (9"")","22.2 mm (7/8"")",7 mm,6 600 rpm; 80 m/s,,,,,,,,,,,,0,0,0,0,PCE,1,,,,,
373344895871,NovoTools,DBS115/T,,Diamond Blades (EN),"Diamond blade NovoTools Standard 115x7x22.2mm, Turbo",,"<strong>NovoTools Standard 115x7x22.2mm Turbo Diamond Blade, Fast Cutting for Concrete, Stone, and Masonry - 4 1/2 Inch Diameter, EN13236 Safety Compliant</strong><br /><br />Upgrade your cutting experience with the NovoTools Standard Turbo Diamond Blade, designed to provide fast and precise cutting for concrete, stone, and masonry materials. With a 115mm (4 1/2"") diameter and a 7mm segment height, this diamond blade offers optimal cutting performance for various applications. The 22.2mm (7/8"") bore size ensures compatibility with a wide range of power tools, making it a valuable addition to your workshop.<br /><br /><strong>KEY FEATURES</strong><br /><ul><li>FAST CUTTING: NovoTools Standard Turbo Diamond Blade designed for fast and precise cutting on concrete, stone, and masonry materials.</li><li>OPTIMAL SIZE: 115mm (4 1/2"") diameter, 7mm segment height, and 22.2mm (7/8"") bore size for compatibility with a wide range of power tools.</li><li>TURBO DESIGN: Turbo-type design enhances cutting speed, increases cooling, and reduces friction for cleaner, smoother cuts with minimal chipping.</li><li>LONG-LASTING: Durable diamond blade construction ensures long-lasting performance and reduced wear on the blade.</li><li>SAFETY COMPLIANT: Complies with EN13236 safety requirements, featuring a max speed of 13,300 RPM and 80 m/s for safe and efficient operation.</li></ul><br />The Turbo-type design of the NovoTools Standard Diamond Blade allows for enhanced cutting speed and increased cooling, resulting in less friction and heat buildup. This not only prolongs the blade's lifespan but also ensures cleaner and smoother cuts with minimal chipping.<br /><br />Safety is a top priority with the NovoTools Standard Turbo Diamond Blade, which complies with the stringent EN13236 safety requirements. With a maximum speed of 13,300 RPM and 80 m/s, this diamond blade guarantees efficient operation without compromising safety. Equip your workshop with the NovoTools Standard Turbo Diamond Blade and enjoy superior cutting performance.<br /><br />",https://static.tildacdn.com/stor3664-3466-4633-a538-353837333738/54996050.png,2.21,,,,,0dii9kUbZfYa4V7zz9x7,,,,,,,,,,,,,,,,,,,,,,,,,Standard,,,Turbo,,,,,,,,,,,,,,,,,,,,,,5060511133944,,"Cutting disc for concrete, stone, and masonry materials",,,,,,,,,,,,,,,,,,,,,EN13236,Angle grinder,,,,,,,,,,,,,"115 mm (4 1/2"")","22.2 mm (7/8"")",7 mm,"13 300 rpm, 80 m/s",,,,,,,,,,,,0,0,0,0,PCE,1,,,,,
296057920001,NovoTools,DBS230/T,,Diamond Blades (EN),"Diamond blade NovoTools Standard 230x7x22.2mm, Turbo",,"<strong>NovoTools Standard 230x7x22.2 mm Turbo Diamond Blade, Fast Cutting for Concrete, Stone, and Masonry - 9-Inch Diameter, EN13236 Safety Compliant</strong><br /><br />Experience superior cutting performance with the NovoTools Standard Turbo Diamond Blade, engineered for fast and precise cutting of concrete, stone, and masonry materials. Boasting a 230mm (9"") diameter and a 7mm segment height, this diamond blade delivers exceptional results for various applications. The 22.2mm (7/8"") bore size ensures compatibility with numerous power tools, making it a valuable addition to your workshop.<br /><br /><strong>KEY FEATURES</strong><br /><ul><li>FAST CUTTING: NovoTools Standard Turbo Diamond Blade designed for fast and precise cutting on concrete, stone, and masonry materials.</li><li>OPTIMAL SIZE: 230mm (9"") diameter, 7mm segment height, and 22.2mm (7/8"") bore size for compatibility with a wide range of power tools.</li><li>TURBO DESIGN: Turbo-type design enhances cutting speed, increases cooling, and reduces friction for cleaner, smoother cuts with minimal chipping.</li><li>LONG-LASTING: Durable diamond blade construction ensures long-lasting performance and reduced wear on the blade.</li><li>SAFETY COMPLIANT: Complies with EN13236 safety requirements, featuring a max speed of 6,600 RPM and 80 m/s for safe and efficient operation.</li></ul><br />The Turbo-type design of the NovoTools Standard Diamond Blade allows for enhanced cutting speed and increased cooling, leading to reduced friction and heat buildup. This not only prolongs the blade's lifespan but also ensures cleaner and smoother cuts with minimal chipping.<br /><br />Safety is a top priority with the NovoTools Standard Turbo Diamond Blade, which complies with the stringent EN13236 safety requirements. With a maximum speed of 6,600 RPM and 80 m/s, this diamond blade guarantees efficient operation without compromising safety. Equip your workshop with the NovoTools Standard Turbo Diamond Blade for unparalleled cutting performance.",https://static.tildacdn.com/stor3738-3563-4538-b030-623537626631/29289178.png,8.15,,,,,87fF55s1YjMBoo1AmRm1,,,,,,,,,,,,,,,,,,,,,,,,,Standard,,,Turbo,,,,,,,,,,,,,,,,,,,,,,5060511133975,,"Cutting disc for concrete, stone, and masonry materials",,,,,,,,,,,,,,,,,,,,,EN13236,Angle grinder,,,,,,,,,,,,,"230 mm (9"")","22.2 mm (7/8"")",7 mm,6 600 rpm; 80 m/s,,,,,,,,,,,,0,0,0,0,PCE,1,,,,,
